id,first_name,second_name,web_name,team,team_name,position,price,total_points,minutes,goals_scored,assists,clean_sheets,bonus,bps,form,points_per_game,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,status,chance_of_playing_next_round,code
453,"Adam","Armstrong","Armstrong",17,"Southampton","Forward","5.1",45,1246,2,3,2,2,145,"0.0","2.2","0.6","56.0","154.4","143.7","262.0","3.28","0.56","3.84","33.47",4,0,0,0,1,"u",0,155511
454,"Gavin","Bazunu","Bazunu",17,"Southampton","Goalkeeper","4.3",0,0,0,0,0,0,0,"0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,456350
455,"Jan","Bednarek","Bednarek",17,"Southampton","Defender","4.0",47,1901,2,0,2,2,210,"0.3","2.0","2.4","72.9","599.6","63.6","67.0","0.65","0.78","1.43","45.36",5,0,0,0,0,"a",100,171771
456,"Armel","Bella-Kotchap","Bella-Kotchap",17,"Southampton","Defender","3.9",2,329,0,0,0,0,7,"0.7","0.5","0.4","7.0","64.6","2.3","4.0","0.32","0.01","0.33","10.67",0,0,0,0,0,"a",,477386
457,"James","Bree","Bree",17,"Southampton","Defender","3.9",15,886,0,1,0,0,64,"0.0","1.1","0.4","36.0","167.4","152.1","41.0","0.11","0.67","0.78","26.90",0,0,0,0,0,"i",0,184386
458,"Shea","Charles","Charles",17,"Southampton","Midfielder","4.5",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,463210
459,"Samuel","Edozie","Edozie",17,"Southampton","Midfielder","4.9",1,64,0,0,0,0,6,"0.0","0.5","0.0","5.1","9.8","19.0","22.0","0.00","0.15","0.15","0.31",1,0,0,0,0,"u",0,490503
460,"Ronnie","Edwards","Edwards",17,"Southampton","Defender","3.9",1,12,0,0,0,0,-1,"0.0","1.0","0.2","0.5","5.0","0.1","0.0","0.00","0.00","0.00","0.32",0,0,0,0,0,"u",0,500926
461,"Taylor","Harwood-Bellis","Harwood-Bellis",17,"Southampton","Defender","4.0",42,2119,1,0,2,2,200,"1.0","1.6","5.6","95.9","570.2","171.7","215.0","1.72","0.53","2.25","53.33",7,0,0,0,0,"d",75,245719
462,"Kamaldeen","Sulemana","Kamaldeen",17,"Southampton","Midfielder","5.0",33,734,1,1,0,2,110,"2.0","1.9","0.0","36.9","107.4","105.6","158.0","0.78","0.41","1.19","22.71",0,0,0,0,0,"a",100,504783
463,"Adam","Lallana","Lallana",17,"Southampton","Midfielder","5.0",17,352,0,2,0,1,74,"0.3","1.2","0.0","18.4","81.2","82.4","21.0","0.15","0.48","0.63","7.96",4,0,0,0,0,"a",100,39155
464,"Juan","Larios López","Larios",17,"Southampton","Defender","3.9",0,0,0,0,0,0,0,"0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"d",50,515571
465,"Mateusz","Lis","Lis",17,"Southampton","Goalkeeper","4.0",0,0,0,0,0,0,0,"0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,200428
466,"Joe","Lumley","Lumley",17,"Southampton","Goalkeeper","4.0",8,270,0,0,0,0,22,"0.0","2.7","0.5","10.2","102.2","0.0","0.0","0.00","0.00","0.00","9.40",0,0,13,0,0,"a",,167888
467,"Ryan","Manning","Manning",17,"Southampton","Defender","4.3",18,968,0,1,0,0,90,"0.7","1.1","0.1","57.9","209.4","314.7","56.0","0.29","2.07","2.36","27.68",2,0,0,0,0,"a",,204863
468,"Sékou","Mara","Mara",17,"Southampton","Forward","5.0",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,476888
469,"Alex","McCarthy","McCarthy",17,"Southampton","Goalkeeper","4.2",12,450,0,0,0,0,32,"0.0","2.4","0.1","16.7","166.4","0.0","0.0","0.00","0.00","0.00","11.22",0,0,24,0,0,"a",,58376
470,"Paul","Onuachu","Onuachu",17,"Southampton","Forward","4.9",39,755,3,1,0,3,121,"2.3","2.1","0.3","66.1","172.8","115.6","377.0","2.84","0.24","3.08","20.52",3,0,0,0,0,"a",100,147611
471,"Will","Smallbone","Smallbone",17,"Southampton","Midfielder","5.0",20,549,1,0,0,0,95,"3.0","1.7","0.0","28.7","95.4","140.8","51.0","0.39","0.76","1.15","15.77",1,0,0,0,0,"i",0,214466
472,"Jack","Stephens","Stephens",17,"Southampton","Defender","4.0",12,804,0,0,1,2,45,"0.3","1.0","0.4","19.6","127.4","51.6","17.0","0.28","0.20","0.48","19.20",2,2,0,0,0,"a",100,88900
473,"Ross","Stewart","Stewart",17,"Southampton","Forward","4.4",3,130,0,0,0,0,5,"0.0","0.8","1.7","2.1","5.8","6.7","9.0","0.17","0.02","0.19","2.56",1,0,0,0,0,"d",50,230348
474,"Sugawara","Yukinari","Sugawara",17,"Southampton","Defender","4.2",39,1432,1,1,2,0,108,"0.7","1.5","0.2","67.8","276.8","286.8","116.0","0.44","2.44","2.88","37.10",4,0,0,0,0,"a",100,219279
475,"Charlie","Taylor","Taylor",17,"Southampton","Defender","3.9",5,263,0,0,0,0,16,"0.0","0.7","3.9","10.2","72.6","26.5","2.0","0.00","0.10","0.10","7.61",1,0,0,0,0,"a",,103914
476,"Kyle","Walker-Peters","Walker-Peters",17,"Southampton","Defender","4.3",43,2378,0,2,2,3,181,"0.7","1.6","0.3","94.7","414.0","346.4","190.0","0.49","2.15","2.63","65.64",5,0,0,0,0,"a",100,158534
477,"Nathan","Wood-Gordon","Wood",17,"Southampton","Defender","4.0",13,622,0,0,1,2,42,"0.0","1.4","1.1","13.0","94.8","19.4","14.0","0.23","0.04","0.27","16.83",2,0,0,0,0,"a",100,244845
515,"Maxwel","Cornet","Cornet",17,"Southampton","Midfielder","4.7",1,71,0,0,0,0,12,"0.0","0.5","0.0","2.2","11.6","3.5","7.0","0.16","0.00","0.16","1.79",1,0,0,0,0,"u",0,149519
518,"Flynn","Downes","Downes",17,"Southampton","Midfielder","4.7",35,1520,1,0,2,0,224,"1.0","1.8","0.0","54.9","204.0","233.6","109.0","0.62","1.14","1.76","35.99",9,0,0,0,0,"a",100,220585
584,"Ben","Brereton Díaz","Brereton Díaz",17,"Southampton","Midfielder","4.8",13,446,0,0,0,0,43,"0.0","1.3","0.1","16.8","21.8","63.6","81.0","0.90","0.15","1.05","11.43",1,0,0,0,0,"u",0,204814
608,"Tyler","Dibling","Dibling",17,"Southampton","Midfielder","4.4",56,1533,2,2,2,4,219,"2.7","2.2","1.6","79.4","238.8","301.7","254.0","2.46","1.32","3.78","39.88",6,0,0,0,0,"a",100,496661
623,"Mateus Gonçalo","Espanha Fernandes","M.Fernandes",17,"Southampton","Midfielder","5.0",61,2142,1,2,4,2,351,"1.7","2.3","0.1","115.4","361.8","491.1","299.0","3.22","2.64","5.86","55.30",7,0,0,0,0,"a",100,551226
693,"Joseph","O'Brien-Whitmarsh","O'Brien-Whitmarsh",17,"Southampton","Midfielder","4.5",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,545508
718,"Welington Damascena","Santos","Welington",17,"Southampton","Defender","4.0",3,171,0,0,0,0,16,"0.3","0.8","0.0","9.9","53.8","40.6","5.0","0.01","0.14","0.15","3.92",1,0,0,0,0,"a",,500016
719,"Joachim","Kayi-Sanda","Kayi Sanda",17,"Southampton","Defender","4.0",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"a",,620408
734,"Albert","Grønbæk","Grønbæk",17,"Southampton","Midfielder","4.9",6,141,0,0,0,0,13,"1.0","1.5","0.0","3.7","15.8","11.4","9.0","0.12","0.01","0.13","5.10",0,0,0,0,0,"a",,494779
748,"Ivan","Juric","Jurić",17,"Southampton","Manager","0.5",12,0,0,0,0,0,0,"0.7","0.0","0.1","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"a",,100045653
82,"Dominic","Solanke-Mitchell","Solanke",18,"Spurs","Forward","7.3",87,1778,7,5,3,6,327,"1.3","4.3","4.7","122.5","413.2","182.8","639.0","9.16","1.09","10.25","33.24",0,0,0,0,0,"a",100,154566
478,"Ashley","Phillips","A.Phillips",18,"Spurs","Defender","4.0",0,0,0,0,0,0,0,"0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,548308
479,"Brandon","Austin","Austin",18,"Spurs","Goalkeeper","4.0",1,90,0,0,0,0,7,"0.0","1.0","0.5","2.0","20.0","0.0","0.0","0.00","0.00","0.00","2.53",0,0,2,0,0,"a",,214572
480,"Rodrigo","Bentancur","Bentancur",18,"Spurs","Midfielder","4.9",41,1243,2,0,3,1,237,"1.3","2.2","0.1","59.7","258.2","179.3","157.0","1.36","0.82","2.18","19.76",7,0,0,0,0,"a",100,202993
481,"Lucas","Bergvall","Bergvall",18,"Spurs","Midfielder","4.4",35,924,0,2,2,0,188,"2.3","1.6","1.1","43.8","199.6","171.5","67.0","0.55","0.63","1.18","18.83",3,0,0,0,0,"a",100,570526
482,"Yves","Bissouma","Bissouma",18,"Spurs","Midfielder","4.8",44,1136,2,0,3,4,230,"0.3","2.0","0.2","41.0","239.8","116.7","51.0","0.57","0.47","1.04","21.25",6,0,0,0,0,"a",100,227127
483,"Bryan","Gil Salvatierra","Bryan",18,"Spurs","Midfielder","5.0",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,436234
484,"Ben","Davies","Davies",18,"Spurs","Defender","4.3",24,720,0,0,3,0,127,"0.3","2.7","0.2","26.8","209.2","21.2","36.0","0.17","0.21","0.38","13.20",2,0,0,0,0,"a",100,115556
485,"Alfie","Devine","Devine",18,"Spurs","Midfielder","4.5",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,496179
486,"Radu","Drăgușin","Dragusin",18,"Spurs","Defender","4.3",24,1250,0,0,2,0,96,"0.0","1.5","0.2","36.2","256.4","58.1","47.0","0.13","0.16","0.29","28.59",1,0,0,0,0,"i",0,493125
487,"Emerson","Leite de Souza Junior","E.Royal",18,"Spurs","Defender","4.5",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,241157
488,"Fraser","Forster","Forster",18,"Spurs","Goalkeeper","4.3",19,630,0,0,1,0,64,"0.0","2.7","0.4","22.2","221.0","0.0","0.0","0.00","0.00","0.00","14.80",0,0,29,0,0,"a",,40383
489,"Archie","Gray","Gray",18,"Spurs","Midfielder","4.6",34,1245,0,0,2,0,208,"1.3","1.6","0.2","26.9","211.2","45.9","11.0","0.03","0.16","0.19","25.59",0,0,0,0,0,"a",100,547701
490,"Pierre-Emile","Højbjerg","Højbjerg",18,"Spurs","Midfielder","5.0",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,132015
491,"Brennan","Johnson","Johnson",18,"Spurs","Midfielder","6.2",108,1759,9,4,2,10,362,"1.3","4.2","2.3","137.7","454.8","234.5","694.0","9.61","1.37","10.98","30.81",4,0,0,0,0,"a",100,242898
492,"Dejan","Kulusevski","Kulusevski",18,"Spurs","Midfielder","6.2",110,2152,7,4,6,9,405,"0.3","4.1","2.9","208.0","584.0","813.1","685.0","3.92","3.95","7.87","39.17",3,0,0,0,0,"d",50,445044
